gameId,playId,x,y,hangTime,frameId,playDirection
2018090600,366,72.61,39.18,4.46,78,right
2018090600,872,96.45,39.01,4.35,76,right
2018090600,973,69.3,48.7,4.98,84,right
2018090600,1850,20.49,43.54,4.53,78,left
2018090600,1989,92.21,35.84,4.62,81,right
2018090600,2406,29.47,23.76,4.69,79,left
2018090600,2599,81.65,41.6,4.16,76,right
2018090600,3026,85.08,41.61,4.66,81,right
2018090600,3225,78.67,43.06,4.08,75,right
2018090600,3736,71.87,46.2,4.2,75,right
2018090600,3868,30.88,32.06,4.4,78,left
2018090900,485,37.2,43.93,4.34,76,left
2018090900,575,91.59,49.2,4.2,75,right
2018090900,674,42.66,37.82,4.78,80,left
2018090900,1136,79.25,28.58,3.62,69,right
2018090900,1360,81.52,23.67,4.52,80,right
2018090900,1772,22.8,20.01,3.9,72,left
2018090900,2097,88.79,35.45,4.67,81,right
2018090900,2996,71.0,38.9,2.78,61,right
2018090900,3079,41.87,25.3,4.06,74,left
2018090900,3655,98.62,47.23,4.07,75,right
2018090900,3851,33.22,44.95,3.23,67,left
2018090900,4325,20.07,43.13,3.8,71,left
2018090900,4464,78.31,52.01,3.84,73,right
2018090901,118,73.16,53.69,3.53,63,right
2018090901,313,12.46,27.82,4.13,73,left
2018090901,474,89.17,40.54,4.0,74,right
2018090901,588,39.11,37.35,4.02,74,left
2018090901,887,32.49,17.21,4.77,80,left
2018090901,1491,100.54,42.93,3.92,72,right
2018090901,1723,100.55,14.61,3.9,70,right
2018090901,2632,51.68,33.04,3.86,59,left
2018090901,2907,24.74,9.83,4.22,75,left
2018090901,3215,21.16,7.77,4.08,71,left
2018090901,3349,92.05,2.97,4.25,76,right
2018090901,3463,68.9,46.65,4.57,81,left
2018090901,3960,103.44,10.86,4.21,75,right
2018090901,4136,42.3,38.43,4.1,74,left
2018090901,4352,37.87,20.31,4.81,82,left
2018090901,4648,91.75,5.54,4.34,75,right
2018090901,4833,31.71,34.82,4.98,84,left
2018090901,4965,65.81,53.76,2.95,61,right
2018090902,2228,45.14,2.44,4.14,75,left
2018090902,2340,85.15,41.11,4.45,77,right
2018090902,3547,89.42,17.46,5.08,83,right
2018090903,407,11.94,13.91,4.85,81,left
2018090903,1257,27.08,53.27,3.22,63,left
2018090903,1844,30.73,48.07,4.09,72,left
2018090903,1993,33.45,33.57,3.4,67,left
2018090903,2094,100.18,45.27,4.12,75,right
2018090903,2176,29.08,28.61,4.57,84,left
2018090903,3163,19.59,52.28,4.4,75,left
2018090903,3982,105.01,19.39,3.89,65,right
2018090905,114,89.58,12.4,4.14,77,right
2018090905,359,45.26,2.12,3.92,73,left
2018090905,497,100.4,14.9,4.0,73,right
2018090905,1555,34.32,23.44,4.18,75,left
